Hostname,Group,Subject,AParameters,BParameters,XParameters,YParameters,ID,Sex,Age,Race,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,3247,Start,1,ITI,521.942,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,3656,Start,1,Start,36000000,T,NA,0,F,0,<space>,NA,F,y
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,4432,Start,1,Start,36000000,T,NA,0,F,0,<space>,1180,F,<space>
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,5102,Train1,1,ITI,634.768,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,6091,Train1,1,X+Y+Question,5000,T,Yes,1000,F,1,y+n,982,T,y
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,7870,Train1,2,ITI,758.955,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,8697,Train1,2,G+Question,5000,T,No,1000,F,1,y+n,822,T,y
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,10632,Train1,3,ITI,918.007,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,11702,Train1,3,A+Question,5000,T,Yes,1000,F,1,y+n,1062,T,y
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,13391,Train2,1,ITI,662.695,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,15314,Train2,1,A+B+Question,5000,T,Yes,1000,F,1,y+n,1916,T,y
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,16892,Train2,2,ITI,553.983,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,18061,Train2,2,G+Question,5000,T,No,1000,F,1,y+n,1163,T,y
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,19942,Train2,3,ITI,865.09,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,21057,Train2,3,X+Question,5000,T,No,1000,F,1,y+n,1109,T,y
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,23024,RateInfo,1,ITI,941.379,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,24584,RateInfo,1,RateInfo,36000000,T,NA,0,F,0,<space>,1556,F,<space>
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,25404,Rate,1,ITI,782.993,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,26180,Rate,1,A+Rating,36000000,T,RatingOK,1000,F,1,1+2+3+4+5+6+7,770,T,4
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,27775,Rate,2,ITI,577.101,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,28208,Rate,2,X+Rating,36000000,T,RatingOK,1000,F,1,1+2+3+4+5+6+7,427,T,4
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,29867,Rate,3,ITI,638.61,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,30325,Rate,3,B+Rating,36000000,T,RatingOK,1000,F,1,1+2+3+4+5+6+7,451,T,4
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,32174,Rate,4,ITI,828.658,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,32547,Rate,4,Y+Rating,36000000,T,RatingOK,1000,F,1,1+2+3+4+5+6+7,364,T,4
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,34184,End,1,ITI,603.574,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,2,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,36882,End,1,End,36000000,T,NA,0,F,0,q,2692,F,q
